Rank,Team,Country,Current valuation ($B),Two-year value change (%),Debt over Value (%),Revenue ($M),Operating Income ($M)
1,Barcelona,Spain,4.76,18,6,792,62
2,Real Madrid,Spain,4.75,12,6,792,92
3,Bayern Munich,Germany,4.22,39,0,703,49
4,Manchester United,England,4.20,10,16,643,167
5,Liverpool,England,4,88,2,619,62
6,Manchester City,England,4,49,0,609,-2
7,Chelsea,England,3.2,24,0,520,35
8,Arsenal,England,2.8,23,7,430,47
9,Paris Saint-Germain,France,2.5,129,0,599,-5
10,Tottenham Hotspur,England,2.3,42,39,494,134
11,Juventus,Italy,1.95,29,16,441,-14
12,Borussia Dortmund,Germany,1.9,112,0,405,15
13,Atletico de Madrid,Spain,1,5,26,368,62
14,Inter Milan,Italy,0.743,11,8,323,13
15,Everton,England,0.658,38,0,235,15
16,AC Milan,Italy,0.559,-4,4,165,-92
17,AS Roma,Italy,0.548,-12,56,156,-108
18,West Ham United,England,0.508,-18,18,175,-24
19,Leicester City,England,0.455,0,17,189,-49
20,Ajax,Netherlands,0.413,0,2,172,2